,,Deprecated,Preview,Reactions,Raw,Cached,Scopes,SNI,,,,HTTP Code,array of arrays,"array of hashrefs, paged",hash ref,Empty body,Array ref,authenticated user,Location,Sends array,params,
Activity,Events,,,,,,,,List public events,GET,/events,200,,x,,,,,,,,
Activity,Events,,,,,,,,List repository events,GET,/repos/:owner/:repo/events,200,,x,,,,,,,,
Activity,Events,,,,,,,,List issue events for a repository,GET,/repos/:owner/:repo/issues/events,200,,x,,,,,,,,
Activity,Events,,,,,,,,List public events for a network of repositories,GET,/networks/:owner/:repo/events,200,,x,,,,,,,,
Activity,Events,,,,,,,,List public events for an organization,GET,/orgs/:org/events,200,,x,,,,,,,,
Activity,Events,,,,,,,,List events that a user has received,GET,/users/:username/received_events,200,,x,,,,,,,,
Activity,Events,,,,,,,,List events performed by a user,GET,/users/:username/events,200,,x,,,,,,,,
Activity,Events,,,,,,,,List public events performed by a user,GET,/users/:username/events/public,200,,x,,,,,,,,
Activity,Events,,,,,,,,List events for an organization,GET,/users/:username/events/orgs/:org,200,,x,,,,,,,,
Activity,Feeds,,,,,,,,List Feeds,GET,/feeds,200,,,x,,,x,,,,
Activity,Notifications,,,,,,notifications or repo,,List your notifications,GET,/notifications,200,,x,,,,x,,,,
Activity,Notifications,,,,,,notifications or repo,,List your notifications in a repository,GET,/repos/:owner/:repo/notifications,200,,x,,,,x,,,,
Activity,Notifications,,,,,,notifications or repo,,Mark as read,PUT,/notifications,205,,,,x,,x,,,last_read_at,
Activity,Notifications,,,,,,notifications or repo,,Mark notifications as read in a repository,PUT,/repos/:owner/:repo/notifications,205,,,,x,,x,,,last_read_at,
Activity,Notifications,,,,,,notifications or repo,,View a single thread,GET,/notifications/threads/:id,200,,,x,,,,,,,
Activity,Notifications,,,,,,notifications or repo,,Mark a thread as read,PATCH,/notifications/threads/:id,205,,,,x,,,,,,
Activity,Notifications,,,,,,notifications or repo,,Get a Thread Subscription,GET,/notifications/threads/:id/subscription,200,,,x,,,,,,,
Activity,Notifications,,,,,,notifications or repo,,Set a Thread Subscription,PUT,/notifications/threads/:id/subscription,200,,,x,,,,,,"subscribed=B, ignored=B",
Activity,Notifications,,,,,,notifications or repo,,Delete a Thread Subscription,DELETE,/notifications/threads/:id/subscription,204,,,,x,,,,,,
Activity,Starring,,,,,,,,List Stargazers,GET,/repos/:owner/:repo/stargazers,200,,x,,,,,,,,application/vnd.github.v3.star+json
Activity,Starring,,,,,,,,List repositories being starred,GET,/users/:username/starred,200,,x,,,,,,,,application/vnd.github.v3.star+json
Activity,Starring,,,,,,,,List repositories being starred,GET,/users/starred,200,,x,,,,x,,,,application/vnd.github.v3.star+json
Activity,Starring,,,,,,,,Check if you are starring a repository,GET,/user/starred/:owner/:repo,"204,404",,,,x,,x,,,,
Activity,Starring,,,,,,,,Star a repository,PUT,/user/starred/:owner/:repo,204,,,,x,,x,,,,
Activity,Starring,,,,,,,,Unstar a repository,DELETE,/user/starred/:owner/:repo,204,,,,x,,x,,,,
Activity,Watching,,,,,,,,List watchers,GET,/repos/:owner/:repo/subscribers,200,,x,,,,,,,,
Activity,Watching,,,,,,,,List repositories being watched,GET, /users/:username/subscriptions,200,,x,,,,,,,,
Activity,Watching,,,,,,,,List repositories being watched,GET,/user/subscriptions,200,,x,,,,x,,,,
Activity,Watching,,,,,,,,Get a Repository Subscription,GET,/repos/:owner/:repo/subscription,"200,404",,,x,,,x,,,,
Activity,Watching,,,,,,,,Set a Repository Subscription,PUT,/repos/:owner/:repo/subscription,200,,,x,,,x,,,"subscribed=B, ignored=B",
